************* START OF RANDOM TEST FOR smithy card *************

Test#0 Expected 6 handcount, found 5 handcount
Test#605 Expected 4 handcount, found 3 handcount
Test#606 Expected 4 handcount, found 3 handcount
Test#607 Expected 10 handcount, found 9 handcount
Test#608 Expected 8 handcount, found 7 handcount
Test#609 Expected 7 handcount, found 6 handcount
Test#610 Expected 333 handcount, found 332 handcount
Test#611 Expected 10 handcount, found 9 handcount
Test#612 Expected 4 handcount, found 3 handcount
Test#613 Expected 163 handcount, found 162 handcount
Test#614 Expected 126 handcount, found 125 handcount
Test#615 Expected 326 handcount, found 325 handcount
Test#616 Expected 12 handcount, found 11 handcount
Test#617 Expected 9 handcount, found 8 handcount
Test#618 Expected 10 handcount, found 9 handcount
Test#619 Expected 11 handcount, found 10 handcount
Test#620 Expected 4 handcount, found 3 handcount
Test#621 Expected 4 handcount, found 3 handcount
Test#622 Expected 10 handcount, found 9 handcount
Test#623 Expected 8 handcount, found 7 handcount
Test#624 Expected 7 handcount, found 6 handcount
Test#625 Expected 333 handcount, found 332 handcount
Test#626 Expected 10 handcount, found 9 handcount
Test#627 Expected 4 handcount, found 3 handcount
Test#628 Expected 163 handcount, found 162 handcount
Test#629 Expected 126 handcount, found 125 handcount
Test#630 Expected 326 handcount, found 325 handcount
Test#631 Expected 12 handcount, found 11 handcount
Test#632 Expected 9 handcount, found 8 handcount
Test#633 Expected 10 handcount, found 9 handcount
Test#634 Expected 11 handcount, found 10 handcount
Test#635 Expected 4 handcount, found 3 handcount
Test#636 Expected 4 handcount, found 3 handcount
Test#637 Expected 10 handcount, found 9 handcount
Test#638 Expected 8 handcount, found 7 handcount
Test#639 Expected 7 handcount, found 6 handcount
Test#640 Expected 333 handcount, found 332 handcount
Test#641 Expected 10 handcount, found 9 handcount
Test#642 Expected 4 handcount, found 3 handcount
Test#643 Expected 163 handcount, found 162 handcount
Test#644 Expected 126 handcount, found 125 handcount
Test#645 Expected 326 handcount, found 325 handcount
Test#646 Expected 12 handcount, found 11 handcount
Test#647 Expected 9 handcount, found 8 handcount
Test#648 Expected 10 handcount, found 9 handcount
Test#649 Expected 11 handcount, found 10 handcount
Test#650 Expected 4 handcount, found 3 handcount
Test#651 Expected 4 handcount, found 3 handcount
Test#652 Expected 10 handcount, found 9 handcount
Test#653 Expected 8 handcount, found 7 handcount
Test#654 Expected 7 handcount, found 6 handcount
Test#655 Expected 333 handcount, found 332 handcount
Test#656 Expected 10 handcount, found 9 handcount
Test#657 Expected 4 handcount, found 3 handcount
Test#658 Expected 163 handcount, found 162 handcount
Test#659 Expected 126 handcount, found 125 handcount
Test#660 Expected 326 handcount, found 325 handcount
Test#661 Expected 12 handcount, found 11 handcount
Test#662 Expected 9 handcount, found 8 handcount
Test#663 Expected 10 handcount, found 9 handcount
Test#664 Expected 11 handcount, found 10 handcount
Test#665 Expected 4 handcount, found 3 handcount
Test#666 Expected 4 handcount, found 3 handcount
Test#667 Expected 10 handcount, found 9 handcount
Test#668 Expected 8 handcount, found 7 handcount
Test#669 Expected 7 handcount, found 6 handcount
Test#670 Expected 333 handcount, found 332 handcount
Test#671 Expected 10 handcount, found 9 handcount
Test#672 Expected 4 handcount, found 3 handcount
Test#673 Expected 163 handcount, found 162 handcount
Test#674 Expected 126 handcount, found 125 handcount
Test#675 Expected 326 handcount, found 325 handcount
Test#676 Expected 12 handcount, found 11 handcount
Test#677 Expected 9 handcount, found 8 handcount
Test#678 Expected 10 handcount, found 9 handcount
Test#679 Expected 11 handcount, found 10 handcount
Test#680 Expected 4 handcount, found 3 handcount
Test#681 Expected 4 handcount, found 3 handcount
Test#682 Expected 10 handcount, found 9 handcount
Test#683 Expected 8 handcount, found 7 handcount
Test#684 Expected 7 handcount, found 6 handcount
Test#685 Expected 333 handcount, found 332 handcount
Test#686 Expected 10 handcount, found 9 handcount
Test#687 Expected 4 handcount, found 3 handcount
Test#688 Expected 163 handcount, found 162 handcount
Test#689 Expected 126 handcount, found 125 handcount
Test#690 Expected 326 handcount, found 325 handcount
Test#691 Expected 12 handcount, found 11 handcount
Test#692 Expected 9 handcount, found 8 handcount
Test#693 Expected 10 handcount, found 9 handcount
Test#694 Expected 11 handcount, found 10 handcount
Test#695 Expected 4 handcount, found 3 handcount
Test#696 Expected 4 handcount, found 3 handcount
Test#697 Expected 10 handcount, found 9 handcount
Test#698 Expected 8 handcount, found 7 handcount
Test#699 Expected 7 handcount, found 6 handcount
Test#700 Expected 333 handcount, found 332 handcount
Test#701 Expected 10 handcount, found 9 handcount
Test#702 Expected 4 handcount, found 3 handcount
Test#703 Expected 163 handcount, found 162 handcount
Test#704 Expected 126 handcount, found 125 handcount
Test#705 Expected 326 handcount, found 325 handcount
Test#706 Expected 12 handcount, found 11 handcount
Test#707 Expected 9 handcount, found 8 handcount
Test#708 Expected 10 handcount, found 9 handcount
Test#709 Expected 11 handcount, found 10 handcount
Test#710 Expected 4 handcount, found 3 handcount
Test#711 Expected 4 handcount, found 3 handcount
Test#712 Expected 10 handcount, found 9 handcount
Test#713 Expected 8 handcount, found 7 handcount
Test#714 Expected 7 handcount, found 6 handcount
Test#715 Expected 333 handcount, found 332 handcount
Test#716 Expected 10 handcount, found 9 handcount
Test#717 Expected 4 handcount, found 3 handcount
Test#718 Expected 163 handcount, found 162 handcount
Test#719 Expected 126 handcount, found 125 handcount
Test#720 Expected 326 handcount, found 325 handcount
Test#721 Expected 12 handcount, found 11 handcount
Test#722 Expected 9 handcount, found 8 handcount
Test#723 Expected 10 handcount, found 9 handcount
Test#724 Expected 11 handcount, found 10 handcount
Test#725 Expected 4 handcount, found 3 handcount
Test#726 Expected 4 handcount, found 3 handcount
Test#727 Expected 10 handcount, found 9 handcount
Test#728 Expected 8 handcount, found 7 handcount
Test#729 Expected 7 handcount, found 6 handcount
Test#730 Expected 333 handcount, found 332 handcount
Test#731 Expected 10 handcount, found 9 handcount
Test#732 Expected 4 handcount, found 3 handcount
Test#733 Expected 163 handcount, found 162 handcount
Test#734 Expected 126 handcount, found 125 handcount
Test#735 Expected 326 handcount, found 325 handcount
Test#736 Expected 12 handcount, found 11 handcount
Test#737 Expected 9 handcount, found 8 handcount
Test#738 Expected 10 handcount, found 9 handcount
Test#739 Expected 11 handcount, found 10 handcount
Test#740 Expected 4 handcount, found 3 handcount
Test#741 Expected 4 handcount, found 3 handcount
Test#742 Expected 10 handcount, found 9 handcount
Test#743 Expected 8 handcount, found 7 handcount
Test#744 Expected 7 handcount, found 6 handcount
Test#745 Expected 333 handcount, found 332 handcount
Test#746 Expected 10 handcount, found 9 handcount
Test#747 Expected 4 handcount, found 3 handcount
Test#748 Expected 163 handcount, found 162 handcount
Test#749 Expected 126 handcount, found 125 handcount
Test#750 Expected 326 handcount, found 325 handcount
Test#751 Expected 12 handcount, found 11 handcount
Test#752 Expected 9 handcount, found 8 handcount
Test#753 Expected 10 handcount, found 9 handcount
Test#754 Expected 11 handcount, found 10 handcount
Test#755 Expected 4 handcount, found 3 handcount
Test#756 Expected 4 handcount, found 3 handcount
Test#757 Expected 10 handcount, found 9 handcount
Test#758 Expected 8 handcount, found 7 handcount
Test#759 Expected 7 handcount, found 6 handcount
Test#760 Expected 333 handcount, found 332 handcount
Test#761 Expected 10 handcount, found 9 handcount
Test#762 Expected 4 handcount, found 3 handcount
Test#763 Expected 163 handcount, found 162 handcount
Test#764 Expected 126 handcount, found 125 handcount
Test#765 Expected 326 handcount, found 325 handcount
Test#766 Expected 12 handcount, found 11 handcount
Test#767 Expected 9 handcount, found 8 handcount
Test#768 Expected 10 handcount, found 9 handcount
Test#769 Expected 11 handcount, found 10 handcount
Test#770 Expected 4 handcount, found 3 handcount
Test#771 Expected 4 handcount, found 3 handcount
Test#772 Expected 10 handcount, found 9 handcount
Test#773 Expected 8 handcount, found 7 handcount
Test#774 Expected 7 handcount, found 6 handcount
Test#775 Expected 333 handcount, found 332 handcount
Test#776 Expected 10 handcount, found 9 handcount
Test#777 Expected 4 handcount, found 3 handcount
Test#778 Expected 163 handcount, found 162 handcount
Test#779 Expected 126 handcount, found 125 handcount
Test#780 Expected 326 handcount, found 325 handcount
Test#781 Expected 12 handcount, found 11 handcount
Test#782 Expected 9 handcount, found 8 handcount
Test#783 Expected 10 handcount, found 9 handcount
Test#784 Expected 11 handcount, found 10 handcount
Test#785 Expected 4 handcount, found 3 handcount
Test#786 Expected 4 handcount, found 3 handcount
Test#787 Expected 10 handcount, found 9 handcount
Test#788 Expected 8 handcount, found 7 handcount
Test#789 Expected 7 handcount, found 6 handcount
Test#790 Expected 333 handcount, found 332 handcount
Test#791 Expected 10 handcount, found 9 handcount
Test#792 Expected 4 handcount, found 3 handcount
Test#793 Expected 163 handcount, found 162 handcount
Test#794 Expected 126 handcount, found 125 handcount
Test#795 Expected 326 handcount, found 325 handcount
Test#796 Expected 12 handcount, found 11 handcount
Test#797 Expected 9 handcount, found 8 handcount
Test#798 Expected 10 handcount, found 9 handcount
Test#799 Expected 11 handcount, found 10 handcount
Test#800 Expected 4 handcount, found 3 handcount
Test#801 Expected 4 handcount, found 3 handcount
Test#802 Expected 10 handcount, found 9 handcount
Test#803 Expected 8 handcount, found 7 handcount
Test#804 Expected 7 handcount, found 6 handcount
Test#805 Expected 333 handcount, found 332 handcount
Test#806 Expected 10 handcount, found 9 handcount
Test#807 Expected 4 handcount, found 3 handcount
Test#808 Expected 163 handcount, found 162 handcount
Test#809 Expected 126 handcount, found 125 handcount
Test#810 Expected 326 handcount, found 325 handcount
Test#811 Expected 12 handcount, found 11 handcount
Test#812 Expected 9 handcount, found 8 handcount
Test#813 Expected 10 handcount, found 9 handcount
Test#814 Expected 11 handcount, found 10 handcount
Test#815 Expected 4 handcount, found 3 handcount
Test#816 Expected 4 handcount, found 3 handcount
Test#817 Expected 10 handcount, found 9 handcount
Test#818 Expected 8 handcount, found 7 handcount
Test#819 Expected 7 handcount, found 6 handcount
Test#820 Expected 333 handcount, found 332 handcount
Test#821 Expected 10 handcount, found 9 handcount
Test#822 Expected 4 handcount, found 3 handcount
Test#823 Expected 163 handcount, found 162 handcount
Test#824 Expected 126 handcount, found 125 handcount
Test#825 Expected 326 handcount, found 325 handcount
Test#826 Expected 12 handcount, found 11 handcount
Test#827 Expected 9 handcount, found 8 handcount
Test#828 Expected 10 handcount, found 9 handcount
Test#829 Expected 11 handcount, found 10 handcount
Test#830 Expected 4 handcount, found 3 handcount
Test#831 Expected 4 handcount, found 3 handcount
Test#832 Expected 10 handcount, found 9 handcount
Test#833 Expected 8 handcount, found 7 handcount
Test#834 Expected 7 handcount, found 6 handcount
Test#835 Expected 333 handcount, found 332 handcount
Test#836 Expected 10 handcount, found 9 handcount
Test#837 Expected 4 handcount, found 3 handcount
Test#838 Expected 163 handcount, found 162 handcount
Test#839 Expected 126 handcount, found 125 handcount
Test#840 Expected 326 handcount, found 325 handcount
Test#841 Expected 12 handcount, found 11 handcount
Test#842 Expected 9 handcount, found 8 handcount
Test#843 Expected 10 handcount, found 9 handcount
Test#844 Expected 11 handcount, found 10 handcount
Test#845 Expected 4 handcount, found 3 handcount
Test#846 Expected 4 handcount, found 3 handcount
Test#847 Expected 10 handcount, found 9 handcount
Test#848 Expected 8 handcount, found 7 handcount
Test#849 Expected 7 handcount, found 6 handcount
Test#850 Expected 333 handcount, found 332 handcount
Test#851 Expected 10 handcount, found 9 handcount
Test#852 Expected 4 handcount, found 3 handcount
Test#853 Expected 163 handcount, found 162 handcount
Test#854 Expected 126 handcount, found 125 handcount
Test#855 Expected 326 handcount, found 325 handcount
Test#856 Expected 12 handcount, found 11 handcount
Test#857 Expected 9 handcount, found 8 handcount
Test#858 Expected 10 handcount, found 9 handcount
Test#859 Expected 11 handcount, found 10 handcount
Test#860 Expected 4 handcount, found 3 handcount
Test#861 Expected 4 handcount, found 3 handcount
Test#862 Expected 10 handcount, found 9 handcount
Test#863 Expected 8 handcount, found 7 handcount
Test#864 Expected 7 handcount, found 6 handcount
Test#865 Expected 333 handcount, found 332 handcount
Test#866 Expected 10 handcount, found 9 handcount
Test#867 Expected 4 handcount, found 3 handcount
Test#868 Expected 163 handcount, found 162 handcount
Test#869 Expected 126 handcount, found 125 handcount
Test#870 Expected 326 handcount, found 325 handcount
Test#871 Expected 12 handcount, found 11 handcount
Test#872 Expected 9 handcount, found 8 handcount
Test#873 Expected 10 handcount, found 9 handcount
Test#874 Expected 11 handcount, found 10 handcount
Test#875 Expected 4 handcount, found 3 handcount
Test#876 Expected 4 handcount, found 3 handcount
Test#877 Expected 10 handcount, found 9 handcount
Test#878 Expected 8 handcount, found 7 handcount
Test#879 Expected 7 handcount, found 6 handcount
Test#880 Expected 333 handcount, found 332 handcount
Test#881 Expected 10 handcount, found 9 handcount
Test#882 Expected 4 handcount, found 3 handcount
Test#883 Expected 163 handcount, found 162 handcount
Test#884 Expected 126 handcount, found 125 handcount
Test#885 Expected 326 handcount, found 325 handcount
Test#886 Expected 12 handcount, found 11 handcount
Test#887 Expected 9 handcount, found 8 handcount
Test#888 Expected 10 handcount, found 9 handcount
Test#889 Expected 11 handcount, found 10 handcount
Test#890 Expected 4 handcount, found 3 handcount
Test#891 Expected 4 handcount, found 3 handcount
Test#892 Expected 10 handcount, found 9 handcount
Test#893 Expected 8 handcount, found 7 handcount
Test#894 Expected 7 handcount, found 6 handcount
Test#895 Expected 333 handcount, found 332 handcount
Test#896 Expected 10 handcount, found 9 handcount
Test#897 Expected 4 handcount, found 3 handcount
Test#898 Expected 163 handcount, found 162 handcount
Test#899 Expected 126 handcount, found 125 handcount
Test#900 Expected 326 handcount, found 325 handcount
Test#901 Expected 12 handcount, found 11 handcount
Test#902 Expected 9 handcount, found 8 handcount
Test#903 Expected 10 handcount, found 9 handcount
Test#904 Expected 11 handcount, found 10 handcount
Test#905 Expected 4 handcount, found 3 handcount
Test#906 Expected 4 handcount, found 3 handcount
Test#907 Expected 10 handcount, found 9 handcount
Test#908 Expected 8 handcount, found 7 handcount
Test#909 Expected 7 handcount, found 6 handcount
Test#910 Expected 333 handcount, found 332 handcount
Test#911 Expected 10 handcount, found 9 handcount
Test#912 Expected 4 handcount, found 3 handcount
Test#913 Expected 163 handcount, found 162 handcount
Test#914 Expected 126 handcount, found 125 handcount
Test#915 Expected 326 handcount, found 325 handcount
Test#916 Expected 12 handcount, found 11 handcount
Test#917 Expected 9 handcount, found 8 handcount
Test#918 Expected 10 handcount, found 9 handcount
Test#919 Expected 11 handcount, found 10 handcount
Test#920 Expected 4 handcount, found 3 handcount
Test#921 Expected 4 handcount, found 3 handcount
Test#922 Expected 10 handcount, found 9 handcount
Test#923 Expected 8 handcount, found 7 handcount
Test#924 Expected 7 handcount, found 6 handcount
Test#925 Expected 333 handcount, found 332 handcount
Test#926 Expected 10 handcount, found 9 handcount
Test#927 Expected 4 handcount, found 3 handcount
Test#928 Expected 163 handcount, found 162 handcount
Test#929 Expected 126 handcount, found 125 handcount
Test#930 Expected 326 handcount, found 325 handcount
Test#931 Expected 12 handcount, found 11 handcount
Test#932 Expected 9 handcount, found 8 handcount
Test#933 Expected 10 handcount, found 9 handcount
Test#934 Expected 11 handcount, found 10 handcount
Test#935 Expected 4 handcount, found 3 handcount
Test#936 Expected 4 handcount, found 3 handcount
Test#937 Expected 10 handcount, found 9 handcount
Test#938 Expected 8 handcount, found 7 handcount
Test#939 Expected 7 handcount, found 6 handcount
Test#940 Expected 333 handcount, found 332 handcount
Test#941 Expected 10 handcount, found 9 handcount
Test#942 Expected 4 handcount, found 3 handcount
Test#943 Expected 163 handcount, found 162 handcount
Test#944 Expected 126 handcount, found 125 handcount
Test#945 Expected 326 handcount, found 325 handcount
Test#946 Expected 12 handcount, found 11 handcount
Test#947 Expected 9 handcount, found 8 handcount
Test#948 Expected 10 handcount, found 9 handcount
Test#949 Expected 11 handcount, found 10 handcount
Test#950 Expected 4 handcount, found 3 handcount
Test#951 Expected 4 handcount, found 3 handcount
Test#952 Expected 10 handcount, found 9 handcount
Test#953 Expected 8 handcount, found 7 handcount
Test#954 Expected 7 handcount, found 6 handcount
Test#955 Expected 333 handcount, found 332 handcount
Test#956 Expected 10 handcount, found 9 handcount
Test#957 Expected 4 handcount, found 3 handcount
Test#958 Expected 163 handcount, found 162 handcount
Test#959 Expected 126 handcount, found 125 handcount
Test#960 Expected 326 handcount, found 325 handcount
Test#961 Expected 12 handcount, found 11 handcount
Test#962 Expected 9 handcount, found 8 handcount
Test#963 Expected 10 handcount, found 9 handcount
Test#964 Expected 11 handcount, found 10 handcount
Test#965 Expected 4 handcount, found 3 handcount
Test#966 Expected 4 handcount, found 3 handcount
Test#967 Expected 10 handcount, found 9 handcount
Test#968 Expected 8 handcount, found 7 handcount
Test#969 Expected 7 handcount, found 6 handcount
Test#970 Expected 333 handcount, found 332 handcount
Test#971 Expected 10 handcount, found 9 handcount
Test#972 Expected 4 handcount, found 3 handcount
Test#973 Expected 163 handcount, found 162 handcount
Test#974 Expected 126 handcount, found 125 handcount
Test#975 Expected 326 handcount, found 325 handcount
Test#976 Expected 12 handcount, found 11 handcount
Test#977 Expected 9 handcount, found 8 handcount
Test#978 Expected 10 handcount, found 9 handcount
Test#979 Expected 11 handcount, found 10 handcount
Test#980 Expected 4 handcount, found 3 handcount
Test#981 Expected 4 handcount, found 3 handcount
Test#982 Expected 10 handcount, found 9 handcount
Test#983 Expected 8 handcount, found 7 handcount
Test#984 Expected 7 handcount, found 6 handcount
Test#985 Expected 333 handcount, found 332 handcount
Test#986 Expected 10 handcount, found 9 handcount
Test#987 Expected 4 handcount, found 3 handcount
Test#988 Expected 163 handcount, found 162 handcount
Test#989 Expected 126 handcount, found 125 handcount
Test#990 Expected 326 handcount, found 325 handcount
Test#991 Expected 12 handcount, found 11 handcount
Test#992 Expected 9 handcount, found 8 handcount
Test#993 Expected 10 handcount, found 9 handcount
Test#994 Expected 11 handcount, found 10 handcount
Test#995 Expected 4 handcount, found 3 handcount
Test#996 Expected 4 handcount, found 3 handcount
Test#997 Expected 10 handcount, found 9 handcount
Test#998 Expected 8 handcount, found 7 handcount
Test#999 Expected 7 handcount, found 6 handcount
Test#1000 Expected 333 handcount, found 332 handcount
Test#1001 Expected 10 handcount, found 9 handcount
Test#1002 Expected 4 handcount, found 3 handcount
Test#1003 Expected 163 handcount, found 162 handcount
Test#1004 Expected 126 handcount, found 125 handcount
Test#1005 Expected 326 handcount, found 325 handcount
Test#1006 Expected 12 handcount, found 11 handcount
Test#1007 Expected 9 handcount, found 8 handcount
Test#1008 Expected 10 handcount, found 9 handcount
Test#1009 Expected 11 handcount, found 10 handcount
Test#1010 Expected 4 handcount, found 3 handcount
Test#1011 Expected 4 handcount, found 3 handcount
Test#1012 Expected 10 handcount, found 9 handcount
Test#1013 Expected 8 handcount, found 7 handcount
Test#1014 Expected 7 handcount, found 6 handcount
Test#1015 Expected 333 handcount, found 332 handcount
Test#1016 Expected 10 handcount, found 9 handcount
Test#1017 Expected 4 handcount, found 3 handcount
Test#1018 Expected 163 handcount, found 162 handcount
Test#1019 Expected 126 handcount, found 125 handcount
Test#1020 Expected 326 handcount, found 325 handcount
Test#1021 Expected 12 handcount, found 11 handcount
Test#1022 Expected 9 handcount, found 8 handcount
Test#1023 Expected 10 handcount, found 9 handcount
Test#1024 Expected 11 handcount, found 10 handcount
Test#1025 Expected 4 handcount, found 3 handcount
Test#1026 Expected 4 handcount, found 3 handcount
Test#1027 Expected 10 handcount, found 9 handcount
Test#1028 Expected 8 handcount, found 7 handcount
Test#1029 Expected 7 handcount, found 6 handcount
Test#1030 Expected 333 handcount, found 332 handcount
Test#1031 Expected 10 handcount, found 9 handcount
Test#1032 Expected 4 handcount, found 3 handcount
Test#1033 Expected 163 handcount, found 162 handcount
Test#1034 Expected 126 handcount, found 125 handcount
Test#1035 Expected 326 handcount, found 325 handcount
Test#1036 Expected 12 handcount, found 11 handcount
Test#1037 Expected 9 handcount, found 8 handcount
Test#1038 Expected 10 handcount, found 9 handcount
Test#1039 Expected 11 handcount, found 10 handcount
Test#1040 Expected 4 handcount, found 3 handcount
Test#1041 Expected 4 handcount, found 3 handcount
Test#1042 Expected 10 handcount, found 9 handcount
Test#1043 Expected 8 handcount, found 7 handcount
Test#1044 Expected 7 handcount, found 6 handcount
Test#1045 Expected 333 handcount, found 332 handcount
Test#1046 Expected 10 handcount, found 9 handcount
Test#1047 Expected 4 handcount, found 3 handcount
Test#1048 Expected 163 handcount, found 162 handcount
Test#1049 Expected 126 handcount, found 125 handcount
Test#1050 Expected 326 handcount, found 325 handcount
Test#1051 Expected 12 handcount, found 11 handcount
Test#1052 Expected 9 handcount, found 8 handcount
Test#1053 Expected 10 handcount, found 9 handcount
Test#1054 Expected 11 handcount, found 10 handcount
Test#1055 Expected 4 handcount, found 3 handcount
Test#1056 Expected 4 handcount, found 3 handcount
Test#1057 Expected 10 handcount, found 9 handcount
Test#1058 Expected 8 handcount, found 7 handcount
Test#1059 Expected 7 handcount, found 6 handcount
Test#1060 Expected 333 handcount, found 332 handcount
Test#1061 Expected 10 handcount, found 9 handcount
Test#1062 Expected 4 handcount, found 3 handcount
Test#1063 Expected 163 handcount, found 162 handcount
Test#1064 Expected 126 handcount, found 125 handcount
Test#1065 Expected 326 handcount, found 325 handcount
Test#1066 Expected 12 handcount, found 11 handcount
Test#1067 Expected 9 handcount, found 8 handcount
Test#1068 Expected 10 handcount, found 9 handcount
Test#1069 Expected 11 handcount, found 10 handcount
Test#1070 Expected 4 handcount, found 3 handcount
Test#1071 Expected 4 handcount, found 3 handcount
Test#1072 Expected 10 handcount, found 9 handcount
Test#1073 Expected 8 handcount, found 7 handcount
Test#1074 Expected 7 handcount, found 6 handcount
Test#1075 Expected 333 handcount, found 332 handcount
Test#1076 Expected 10 handcount, found 9 handcount
Test#1077 Expected 4 handcount, found 3 handcount
Test#1078 Expected 163 handcount, found 162 handcount
Test#1079 Expected 126 handcount, found 125 handcount
Test#1080 Expected 326 handcount, found 325 handcount
Test#1081 Expected 12 handcount, found 11 handcount
Test#1082 Expected 9 handcount, found 8 handcount
Test#1083 Expected 10 handcount, found 9 handcount
Test#1084 Expected 11 handcount, found 10 handcount
Test#1085 Expected 4 handcount, found 3 handcount
Test#1086 Expected 4 handcount, found 3 handcount
Test#1087 Expected 10 handcount, found 9 handcount
Test#1088 Expected 8 handcount, found 7 handcount
Test#1089 Expected 7 handcount, found 6 handcount
Test#1090 Expected 333 handcount, found 332 handcount
Test#1091 Expected 10 handcount, found 9 handcount
Test#1092 Expected 4 handcount, found 3 handcount
Test#1093 Expected 163 handcount, found 162 handcount
Test#1094 Expected 126 handcount, found 125 handcount
Test#1095 Expected 326 handcount, found 325 handcount
Test#1096 Expected 12 handcount, found 11 handcount
Test#1097 Expected 9 handcount, found 8 handcount
Test#1098 Expected 10 handcount, found 9 handcount
Test#1099 Expected 11 handcount, found 10 handcount
Test#1100 Expected 4 handcount, found 3 handcount
Test#1101 Expected 4 handcount, found 3 handcount
Test#1102 Expected 10 handcount, found 9 handcount
Test#1103 Expected 8 handcount, found 7 handcount
Test#1104 Expected 7 handcount, found 6 handcount
Test#1105 Expected 333 handcount, found 332 handcount
Test#1106 Expected 10 handcount, found 9 handcount
Test#1107 Expected 4 handcount, found 3 handcount
Test#1108 Expected 163 handcount, found 162 handcount
Test#1109 Expected 126 handcount, found 125 handcount
Test#1110 Expected 326 handcount, found 325 handcount
Test#1111 Expected 12 handcount, found 11 handcount
Test#1112 Expected 9 handcount, found 8 handcount
Test#1113 Expected 10 handcount, found 9 handcount
Test#1114 Expected 11 handcount, found 10 handcount
Test#1115 Expected 4 handcount, found 3 handcount
Test#1116 Expected 4 handcount, found 3 handcount
Test#1117 Expected 10 handcount, found 9 handcount
Test#1118 Expected 8 handcount, found 7 handcount
Test#1119 Expected 7 handcount, found 6 handcount
Test#1120 Expected 333 handcount, found 332 handcount
Test#1121 Expected 10 handcount, found 9 handcount
Test#1122 Expected 4 handcount, found 3 handcount
Test#1123 Expected 163 handcount, found 162 handcount
Test#1124 Expected 126 handcount, found 125 handcount
Test#1125 Expected 326 handcount, found 325 handcount
Test#1126 Expected 12 handcount, found 11 handcount
Test#1127 Expected 9 handcount, found 8 handcount
Test#1128 Expected 10 handcount, found 9 handcount
Test#1129 Expected 11 handcount, found 10 handcount
Test#1130 Expected 4 handcount, found 3 handcount
Test#1131 Expected 4 handcount, found 3 handcount
Test#1132 Expected 10 handcount, found 9 handcount
Test#1133 Expected 8 handcount, found 7 handcount
Test#1134 Expected 7 handcount, found 6 handcount
Test#1135 Expected 333 handcount, found 332 handcount
Test#1136 Expected 10 handcount, found 9 handcount
Test#1137 Expected 4 handcount, found 3 handcount
Test#1138 Expected 163 handcount, found 162 handcount
Test#1139 Expected 126 handcount, found 125 handcount
Test#1140 Expected 326 handcount, found 325 handcount
Test#1141 Expected 12 handcount, found 11 handcount
Test#1142 Expected 9 handcount, found 8 handcount
Test#1143 Expected 10 handcount, found 9 handcount
Test#1144 Expected 11 handcount, found 10 handcount
Test#1145 Expected 4 handcount, found 3 handcount
Test#1146 Expected 4 handcount, found 3 handcount
Test#1147 Expected 10 handcount, found 9 handcount
Test#1148 Expected 8 handcount, found 7 handcount
Test#1149 Expected 7 handcount, found 6 handcount
Test#1150 Expected 333 handcount, found 332 handcount
Test#1151 Expected 10 handcount, found 9 handcount
Test#1152 Expected 4 handcount, found 3 handcount
Test#1153 Expected 163 handcount, found 162 handcount
Test#1154 Expected 126 handcount, found 125 handcount
Test#1155 Expected 326 handcount, found 325 handcount
Test#1156 Expected 12 handcount, found 11 handcount
Test#1157 Expected 9 handcount, found 8 handcount
Test#1158 Expected 10 handcount, found 9 handcount
Test#1159 Expected 11 handcount, found 10 handcount
Test#1160 Expected 4 handcount, found 3 handcount
Test#1161 Expected 4 handcount, found 3 handcount
Test#1162 Expected 10 handcount, found 9 handcount
Test#1163 Expected 8 handcount, found 7 handcount
Test#1164 Expected 7 handcount, found 6 handcount
Test#1165 Expected 333 handcount, found 332 handcount
Test#1166 Expected 10 handcount, found 9 handcount
Test#1167 Expected 4 handcount, found 3 handcount
Test#1168 Expected 163 handcount, found 162 handcount
Test#1169 Expected 126 handcount, found 125 handcount
Test#1170 Expected 326 handcount, found 325 handcount
Test#1171 Expected 12 handcount, found 11 handcount
Test#1172 Expected 9 handcount, found 8 handcount
Test#1173 Expected 10 handcount, found 9 handcount
Test#1174 Expected 11 handcount, found 10 handcount
Test#1175 Expected 4 handcount, found 3 handcount
Test#1176 Expected 4 handcount, found 3 handcount
Test#1177 Expected 10 handcount, found 9 handcount
Test#1178 Expected 8 handcount, found 7 handcount
Test#1179 Expected 7 handcount, found 6 handcount
Test#1180 Expected 333 handcount, found 332 handcount
Test#1181 Expected 10 handcount, found 9 handcount
Test#1182 Expected 4 handcount, found 3 handcount
Test#1183 Expected 163 handcount, found 162 handcount
Test#1184 Expected 126 handcount, found 125 handcount
Test#1185 Expected 326 handcount, found 325 handcount
Test#1186 Expected 12 handcount, found 11 handcount
Test#1187 Expected 9 handcount, found 8 handcount
Test#1188 Expected 10 handcount, found 9 handcount
Test#1189 Expected 11 handcount, found 10 handcount
Test#1190 Expected 4 handcount, found 3 handcount
Test#1191 Expected 4 handcount, found 3 handcount
Test#1192 Expected 10 handcount, found 9 handcount
Test#1193 Expected 8 handcount, found 7 handcount
Test#1194 Expected 7 handcount, found 6 handcount
Test#1195 Expected 333 handcount, found 332 handcount
Test#1196 Expected 10 handcount, found 9 handcount
Test#1197 Expected 4 handcount, found 3 handcount
Test#1198 Expected 163 handcount, found 162 handcount
Test#1199 Expected 126 handcount, found 125 handcount
Test#1200 Expected 326 handcount, found 325 handcount
Test#1201 Expected 12 handcount, found 11 handcount
